시도명,시군구명,60~64세,60세 이상 - 계,65~69세,70~74세,75~79세,80~84세,85세이상,격리병상수,남은 격리병상수,병원수,예측된 사망자수,요양기관수,총인구,확진자수
전라북도,임실군,2513,11509,2048,2107,1950,1726,1165,1.0,0.0,1.0,28.22936647337201,1.0,26075.0,7342.0
전라북도,전주시,44015,136457,31245,25037,17643,11518,6999,210.0,60.0,5.0,280.8548596139967,35.0,666517.0,236635.0
전라북도,정읍시,8897,36539,7062,6693,5937,4642,3308,0.0,1.0,1.0,68.54890718290949,5.0,106706.0,31386.0
제주특별자치도,제주시,31190,96682,21025,16203,12577,8992,6695,170.0,42.0,5.0,187.2451654836946,10.0,492306.0,173609.0
충청남도,계룡시,2577,7328,1770,1114,818,600,449,0.0,0.0,0.0,26.151435606285645,1.0,40854.0,14712.0
충청남도,공주시,9645,34676,7467,5762,4985,3990,2827,119.0,15.0,1.0,69.26179493970756,8.0,108333.0,29844.0
충청남도,금산군,5009,19743,4177,3409,3083,2466,1599,0.0,0.0,0.0,42.35232776526749,3.0,53758.0,14451.0
충청남도,논산시,10461,38586,8133,6433,5719,4582,3258,3.0,0.0,1.0,77.77685293992096,10.0,119707.0,39594.0
충청남도,당진시,11472,40444,8328,6983,5667,4730,3264,47.0,1.0,1.0,79.52936696243353,4.0,168955.0,56492.0
충청남도,보령시,8932,33363,7284,5975,4812,3747,2613,0.0,0.0,1.0,61.13363481463392,2.0,99088.0,26201.0
충청남도,부여군,6790,27601,5489,4709,4304,3585,2724,3.0,0.0,1.0,51.2217191611968,3.0,64207.0,15841.0
충청남도,서산시,12384,42914,8790,7418,6021,4701,3600,156.0,7.0,2.0,79.70375547748324,1.0,176379.0,55802.0
충청남도,서천군,5096,22686,4611,4081,3593,3033,2272,0.0,0.0,1.0,45.786154241967324,4.0,51039.0,13303.0
충청남도,아산시,17835,56974,12360,9541,7630,5770,3838,11.0,0.0,1.0,121.06511237311742,7.0,340518.0,114011.0
충청남도,천안시,37496,104756,23523,16507,12452,8917,5861,148.0,25.0,4.0,226.49476835614328,18.0,682199.0,238802.0
충청남도,청양군,3225,13460,2627,2269,2084,1888,1367,1.0,0.0,1.0,31.418547349553535,2.0,30103.0,7225.0
충청남도,태안군,6226,24253,5155,4577,3787,2615,1893,1.0,0.0,1.0,46.52506658656165,1.0,60901.0,15745.0
충청남도,홍성군,7728,30056,6263,5199,4434,3736,2696,96.0,9.0,1.0,59.052428419779915,3.0,102757.0,32000.0
충청북도,단양군,3381,11604,2485,1937,1751,1278,772,0.0,0.0,0.0,28.86959456845443,1.0,27640.0,6855.0
충청북도,보은군,3572,13882,2799,2213,2135,1834,1329,0.0,0.0,0.0,33.32386615524166,3.0,31543.0,8794.0
충청북도,영동군,4785,18520,3854,3135,3039,2290,1417,0.0,0.0,1.0,40.313933063668685,3.0,47016.0,11680.0
충청북도,옥천군,4984,18610,4047,3121,2822,2073,1563,3.0,0.0,1.0,40.804261055419545,3.0,48868.0,13798.0
충청북도,음성군,7972,25642,5653,3938,3582,2659,1838,0.0,0.0,0.0,53.33389730565375,2.0,103725.0,29266.0
충청북도,제천시,12590,39959,9246,6191,5764,3910,2258,32.0,3.0,2.0,78.08254777523706,6.0,134768.0,42422.0
충청북도,증평군,2788,8734,1954,1337,1225,887,543,0.0,0.0,0.0,27.628602475067225,1.0,37183.0,15155.0
충청북도,진천군,5699,18410,4030,2787,2445,2112,1337,67.0,17.0,1.0,44.217686172683784,1.0,89514.0,34557.0
충청북도,청주시,56336,162294,37220,25076,20488,14104,9070,445.0,73.0,7.0,307.46689473271067,14.0,855326.0,297157.0
충청북도,충주시,17786,56705,12505,8581,8180,6001,3652,149.0,7.0,2.0,106.41934144894145,7.0,218412.0,69701.0
