,stdDay,gubun,deathCnt
323,2020년 3월 20일 00시,충남,0.0
324,2020년 3월 20일 00시,전북,0.0
325,2020년 3월 20일 00시,전남,0.0
326,2020년 3월 20일 00시,경북,22.0
327,2020년 3월 20일 00시,경남,0.0
328,2020년 3월 20일 00시,제주,0.0
329,2020년 3월 20일 00시,검역,0.0
330,2020년 3월 21일 00시,합계,102.0
331,2020년 3월 21일 00시,서울,0.0
332,2020년 3월 21일 00시,부산,1.0
333,2020년 3월 21일 00시,대구,73.0
334,2020년 3월 21일 00시,인천,0.0
335,2020년 3월 21일 00시,광주,0.0
336,2020년 3월 21일 00시,대전,0.0
337,2020년 3월 21일 00시,울산,0.0
338,2020년 3월 21일 00시,세종,0.0
339,2020년 3월 21일 00시,경기,3.0
340,2020년 3월 21일 00시,강원,1.0
341,2020년 3월 21일 00시,충북,0.0
342,2020년 3월 21일 00시,충남,0.0
343,2020년 3월 21일 00시,전북,0.0
344,2020년 3월 21일 00시,전남,0.0
345,2020년 3월 21일 00시,경북,24.0
346,2020년 3월 21일 00시,경남,0.0
347,2020년 3월 21일 00시,제주,0.0
348,2020년 3월 21일 00시,검역,0.0
349,2020년 3월 22일 00시,합계,104.0
350,2020년 3월 22일 00시,서울,0.0
351,2020년 3월 22일 00시,부산,1.0
352,2020년 3월 22일 00시,대구,75.0
353,2020년 3월 22일 00시,인천,0.0
354,2020년 3월 22일 00시,광주,0.0
355,2020년 3월 22일 00시,대전,0.0
356,2020년 3월 22일 00시,울산,0.0
357,2020년 3월 22일 00시,세종,0.0
358,2020년 3월 22일 00시,경기,3.0
359,2020년 3월 22일 00시,강원,1.0
360,2020년 3월 22일 00시,충북,0.0
361,2020년 3월 22일 00시,충남,0.0
362,2020년 3월 22일 00시,전북,0.0
363,2020년 3월 22일 00시,전남,0.0
364,2020년 3월 22일 00시,경북,24.0
365,2020년 3월 22일 00시,경남,0.0
366,2020년 3월 22일 00시,제주,0.0
367,2020년 3월 22일 00시,검역,0.0
368,2020년 3월 23일 00시,합계,111.0
369,2020년 3월 23일 00시,서울,0.0
370,2020년 3월 23일 00시,부산,1.0
371,2020년 3월 23일 00시,대구,82.0
372,2020년 3월 23일 00시,인천,0.0
373,2020년 3월 23일 00시,광주,0.0
374,2020년 3월 23일 00시,대전,0.0
375,2020년 3월 23일 00시,울산,0.0
376,2020년 3월 23일 00시,세종,0.0
377,2020년 3월 23일 00시,경기,3.0
378,2020년 3월 23일 00시,강원,1.0
379,2020년 3월 23일 00시,충북,0.0
380,2020년 3월 23일 00시,충남,0.0
381,2020년 3월 23일 00시,전북,0.0
382,2020년 3월 23일 00시,전남,0.0
383,2020년 3월 23일 00시,경북,24.0
384,2020년 3월 23일 00시,경남,0.0
385,2020년 3월 23일 00시,제주,0.0
386,2020년 3월 23일 00시,검역,0.0
387,2020년 3월 24일 00시,합계,120.0
388,2020년 3월 24일 00시,서울,0.0
389,2020년 3월 24일 00시,부산,1.0
390,2020년 3월 24일 00시,대구,88.0
391,2020년 3월 24일 00시,인천,0.0
392,2020년 3월 24일 00시,광주,0.0
393,2020년 3월 24일 00시,대전,0.0
394,2020년 3월 24일 00시,울산,0.0
395,2020년 3월 24일 00시,세종,0.0
396,2020년 3월 24일 00시,경기,4.0
397,2020년 3월 24일 00시,강원,1.0
398,2020년 3월 24일 00시,충북,0.0
399,2020년 3월 24일 00시,충남,0.0
400,2020년 3월 24일 00시,전북,0.0
401,2020년 3월 24일 00시,전남,0.0
402,2020년 3월 24일 00시,경북,26.0
403,2020년 3월 24일 00시,경남,0.0
404,2020년 3월 24일 00시,제주,0.0
405,2020년 3월 24일 00시,검역,0.0
406,2020년 3월 25일 00시,합계,126.0
407,2020년 3월 25일 00시,서울,0.0
408,2020년 3월 25일 00시,부산,1.0
409,2020년 3월 25일 00시,대구,92.0
410,2020년 3월 25일 00시,인천,0.0
411,2020년 3월 25일 00시,광주,0.0
412,2020년 3월 25일 00시,대전,0.0
413,2020년 3월 25일 00시,울산,0.0
414,2020년 3월 25일 00시,세종,0.0
415,2020년 3월 25일 00시,경기,4.0
416,2020년 3월 25일 00시,강원,1.0
417,2020년 3월 25일 00시,충북,0.0
418,2020년 3월 25일 00시,충남,0.0
419,2020년 3월 25일 00시,전북,0.0
420,2020년 3월 25일 00시,전남,0.0
421,2020년 3월 25일 00시,경북,28.0
422,2020년 3월 25일 00시,경남,0.0
423,2020년 3월 25일 00시,제주,0.0
424,2020년 3월 25일 00시,검역,0.0
425,2020년 3월 26일 00시,합계,131.0
426,2020년 3월 26일 00시,서울,0.0
427,2020년 3월 26일 00시,부산,2.0
428,2020년 3월 26일 00시,대구,94.0
429,2020년 3월 26일 00시,인천,0.0
430,2020년 3월 26일 00시,광주,0.0
431,2020년 3월 26일 00시,대전,0.0
432,2020년 3월 26일 00시,울산,0.0
433,2020년 3월 26일 00시,세종,0.0
434,2020년 3월 26일 00시,경기,4.0
435,2020년 3월 26일 00시,강원,1.0
436,2020년 3월 26일 00시,충북,0.0
437,2020년 3월 26일 00시,충남,0.0
438,2020년 3월 26일 00시,전북,0.0
439,2020년 3월 26일 00시,전남,0.0
440,2020년 3월 26일 00시,경북,30.0
441,2020년 3월 26일 00시,경남,0.0
442,2020년 3월 26일 00시,제주,0.0
443,2020년 3월 26일 00시,검역,0.0
444,2020년 3월 27일 00시,합계,139.0
445,2020년 3월 27일 00시,서울,0.0
446,2020년 3월 27일 00시,부산,2.0
447,2020년 3월 27일 00시,대구,98.0
448,2020년 3월 27일 00시,인천,0.0
449,2020년 3월 27일 00시,광주,0.0
450,2020년 3월 27일 00시,대전,0.0
451,2020년 3월 27일 00시,울산,0.0
452,2020년 3월 27일 00시,세종,0.0
453,2020년 3월 27일 00시,경기,4.0
454,2020년 3월 27일 00시,강원,1.0
455,2020년 3월 27일 00시,충북,0.0
456,2020년 3월 27일 00시,충남,0.0
457,2020년 3월 27일 00시,전북,0.0
458,2020년 3월 27일 00시,전남,0.0
459,2020년 3월 27일 00시,경북,34.0
460,2020년 3월 27일 00시,경남,0.0
461,2020년 3월 27일 00시,제주,0.0
462,2020년 3월 27일 00시,검역,0.0
463,2020년 03월 28일 00시,합계,144.0
464,2020년 03월 28일 00시,서울,0.0
465,2020년 03월 28일 00시,부산,2.0
466,2020년 03월 28일 00시,대구,101.0
467,2020년 03월 28일 00시,인천,0.0
468,2020년 03월 28일 00시,광주,0.0
469,2020년 03월 28일 00시,대전,0.0
470,2020년 03월 28일 00시,울산,0.0
471,2020년 03월 28일 00시,세종,0.0
472,2020년 03월 28일 00시,경기,5.0
473,2020년 03월 28일 00시,강원,1.0
474,2020년 03월 28일 00시,충북,0.0
475,2020년 03월 28일 00시,충남,0.0
476,2020년 03월 28일 00시,전북,0.0
477,2020년 03월 28일 00시,전남,0.0
478,2020년 03월 28일 00시,경북,35.0
479,2020년 03월 28일 00시,경남,0.0
480,2020년 03월 28일 00시,제주,0.0
481,2020년 03월 28일 00시,검역,0.0
482,2020년 03월 29일 00시,합계,152.0
483,2020년 03월 29일 00시,서울,0.0
484,2020년 03월 29일 00시,부산,3.0
485,2020년 03월 29일 00시,대구,106.0
486,2020년 03월 29일 00시,인천,0.0
487,2020년 03월 29일 00시,광주,0.0
488,2020년 03월 29일 00시,대전,0.0
489,2020년 03월 29일 00시,울산,0.0
490,2020년 03월 29일 00시,세종,0.0
491,2020년 03월 29일 00시,경기,5.0
492,2020년 03월 29일 00시,강원,1.0
493,2020년 03월 29일 00시,충북,0.0
494,2020년 03월 29일 00시,충남,0.0
495,2020년 03월 29일 00시,전북,0.0
496,2020년 03월 29일 00시,전남,0.0
497,2020년 03월 29일 00시,경북,37.0
498,2020년 03월 29일 00시,경남,0.0
499,2020년 03월 29일 00시,제주,0.0
500,2020년 03월 29일 00시,검역,0.0
501,2020년 03월 30일 00시,합계,158.0
502,2020년 03월 30일 00시,서울,0.0
503,2020년 03월 30일 00시,부산,3.0
504,2020년 03월 30일 00시,대구,111.0
505,2020년 03월 30일 00시,인천,0.0
506,2020년 03월 30일 00시,광주,0.0
507,2020년 03월 30일 00시,대전,0.0
508,2020년 03월 30일 00시,울산,0.0
509,2020년 03월 30일 00시,세종,0.0
510,2020년 03월 30일 00시,경기,5.0
511,2020년 03월 30일 00시,강원,1.0
512,2020년 03월 30일 00시,충북,0.0
513,2020년 03월 30일 00시,충남,0.0
514,2020년 03월 30일 00시,전북,0.0
515,2020년 03월 30일 00시,전남,0.0
516,2020년 03월 30일 00시,경북,38.0
517,2020년 03월 30일 00시,경남,0.0
518,2020년 03월 30일 00시,제주,0.0
519,2020년 03월 30일 00시,검역,0.0
520,2020년 03월 31일 00시,합계,162.0
521,2020년 03월 31일 00시,서울,0.0
522,2020년 03월 31일 00시,부산,3.0
523,2020년 03월 31일 00시,대구,114.0
524,2020년 03월 31일 00시,인천,0.0
525,2020년 03월 31일 00시,광주,0.0
526,2020년 03월 31일 00시,대전,0.0
527,2020년 03월 31일 00시,울산,0.0
528,2020년 03월 31일 00시,세종,0.0
529,2020년 03월 31일 00시,경기,6.0
530,2020년 03월 31일 00시,강원,1.0
531,2020년 03월 31일 00시,충북,0.0
532,2020년 03월 31일 00시,충남,0.0
533,2020년 03월 31일 00시,전북,0.0
534,2020년 03월 31일 00시,전남,0.0
535,2020년 03월 31일 00시,경북,38.0
536,2020년 03월 31일 00시,경남,0.0
537,2020년 03월 31일 00시,제주,0.0
538,2020년 03월 31일 00시,검역,0.0
539,2020년 04월 01일 00시,합계,165.0
540,2020년 04월 01일 00시,서울,0.0
541,2020년 04월 01일 00시,부산,3.0
542,2020년 04월 01일 00시,대구,115.0
543,2020년 04월 01일 00시,인천,0.0
544,2020년 04월 01일 00시,광주,0.0
545,2020년 04월 01일 00시,대전,0.0
546,2020년 04월 01일 00시,울산,1.0
547,2020년 04월 01일 00시,세종,0.0
548,2020년 04월 01일 00시,경기,6.0
549,2020년 04월 01일 00시,강원,1.0
550,2020년 04월 01일 00시,충북,0.0
551,2020년 04월 01일 00시,충남,0.0
552,2020년 04월 01일 00시,전북,0.0
553,2020년 04월 01일 00시,전남,0.0
554,2020년 04월 01일 00시,경북,39.0
555,2020년 04월 01일 00시,경남,0.0
556,2020년 04월 01일 00시,제주,0.0
557,2020년 04월 01일 00시,검역,0.0
558,2020년 04월 02일 00시,합계,169.0
559,2020년 04월 02일 00시,서울,0.0
