,loc_sido,loc_gun,cnt_hos,bed,remain_bed,pop,nurse,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
150,전라남도,고흥군,2.0,7.0,0.0,60045.0,1.0,30148,6240,5703,5521,5270,4338,3076,15568.0,76.58529411764705
151,전라남도,곡성군,1.0,1.0,0.0,27349.0,1.0,11687,2514,2012,2040,1995,1833,1293,6839.0,63.711176470588235
152,전라남도,광양시,1.0,1.0,0.0,143928.0,5.0,28141,9674,6161,4456,3276,2694,1880,46246.0,63.711176470588235
153,전라남도,구례군,1.0,0.0,0.0,23907.0,3.0,10386,2394,1926,1811,1837,1493,925,7343.0,63.711176470588235
154,전라남도,나주시,1.0,0.0,0.0,113293.0,7.0,31071,8328,6158,5411,5102,3672,2400,40839.0,71.3935294117647
155,전라남도,담양군,1.0,2.0,0.0,44201.0,6.0,16829,4116,3221,2995,2822,2245,1430,11142.0,64.07411764705883
156,전라남도,목포시,6.0,195.0,48.0,224509.0,9.0,52159,16543,11843,9678,7367,4378,2350,85005.0,156.54823529411766
157,전라남도,무안군,1.0,11.0,1.0,84637.0,4.0,20682,5412,4302,3824,3351,2335,1458,32959.0,63.70823529411765
158,전라남도,보성군,2.0,0.0,0.0,37888.0,4.0,17748,3767,3223,3101,3074,2687,1896,10581.0,64.72705882352942
159,전라남도,순천시,4.0,146.0,38.0,272449.0,7.0,59922,19425,12876,10074,7876,5711,3960,99068.0,166.9135294117647
160,전라남도,신안군,1.0,1.0,0.0,35138.0,2.0,16384,3679,3118,2971,2950,2319,1347,5451.0,63.711176470588235
161,전라남도,여수시,3.0,7.0,0.0,271505.0,12.0,71703,21746,16750,13334,9717,6276,3880,90344.0,155.1335294117647
162,전라남도,영광군,2.0,4.0,0.0,50196.0,1.0,18102,4265,3489,3414,3225,2337,1372,13956.0,64.42588235294117
163,전라남도,영암군,1.0,1.0,1.0,57076.0,1.0,17005,4215,3189,2940,2916,2275,1470,15884.0,64.00941176470589
164,전라남도,장성군,1.0,1.0,0.0,41443.0,2.0,15193,3484,2821,2772,2626,2122,1368,11006.0,63.711176470588235
165,전라남도,장흥군,2.0,2.0,1.0,35273.0,1.0,15126,3432,2731,2609,2498,2210,1646,10430.0,65.02529411764706
166,전라남도,진도군,1.0,1.0,0.0,29297.0,1.0,12107,2796,2099,2176,2280,1740,1016,7023.0,63.711176470588235
167,전라남도,함평군,0.0,0.0,0.0,30156.0,1.0,13251,2932,2412,2380,2370,1959,1198,7716.0,63.709411764705884
168,전라남도,해남군,2.0,49.0,16.0,65223.0,1.0,26361,6259,4945,4776,4598,3574,2209,18130.0,72.48823529411764
169,전라남도,화순군,1.0,19.0,10.0,60247.0,13.0,19817,4895,3615,3413,3511,2701,1682,20697.0,75.1935294117647
170,전라북도,고창군,1.0,1.0,0.0,52608.0,5.0,22258,5069,4031,4035,3935,3052,2136,14129.0,64.28647058823529
171,전라북도,군산시,2.0,327.0,66.0,269023.0,9.0,66642,20325,15262,12404,9073,5756,3822,84684.0,166.2935294117647
172,전라북도,김제시,1.0,1.0,0.0,79733.0,4.0,31085,7462,6078,5622,4995,3919,3009,23731.0,70.41764705882353
173,전라북도,남원시,1.0,5.0,1.0,78097.0,4.0,27698,6777,5516,5054,4358,3480,2513,24797.0,65.48647058823529
174,전라북도,부안군,2.0,3.0,1.0,49326.0,2.0,20696,4872,4075,3869,3381,2673,1826,13629.0,65.02529411764706
175,전라북도,순창군,1.0,1.0,0.0,26598.0,2.0,11155,2545,1984,1986,2004,1644,992,6624.0,63.711176470588235
176,전라북도,완주군,0.0,0.0,0.0,95834.0,6.0,26239,7164,5601,4717,3846,2935,1976,32444.0,64.27941176470588
177,전라북도,익산시,2.0,19.0,8.0,285312.0,11.0,73288,22305,16234,13016,9970,6938,4825,89173.0,164.61117647058825
178,전라북도,임실군,1.0,1.0,0.0,26075.0,1.0,11509,2513,2048,2107,1950,1726,1165,7342.0,63.711176470588235
179,전라북도,전주시,5.0,210.0,60.0,666517.0,35.0,136457,44015,31245,25037,17643,11518,6999,236635.0,388.2994117647059
180,전라북도,정읍시,1.0,0.0,1.0,106706.0,5.0,36539,8897,7062,6693,5937,4642,3308,31386.0,81.61294117647058
181,제주특별자치도,제주시,5.0,170.0,42.0,492306.0,10.0,96682,31190,21025,16203,12577,8992,6695,173609.0,216.8135294117647
182,충청남도,계룡시,0.0,0.0,0.0,40854.0,1.0,7328,2577,1770,1114,818,600,449,14712.0,63.709411764705884
183,충청남도,공주시,1.0,119.0,15.0,108333.0,8.0,34676,9645,7467,5762,4985,3990,2827,29844.0,82.53235294117647
184,충청남도,금산군,0.0,0.0,0.0,53758.0,3.0,19743,5009,4177,3409,3083,2466,1599,14451.0,63.709411764705884
