,,요양기관수,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,확진자수
충청남도,청양군,2.0,13460,3225,2627,2269,2084,1888,1367,7225.0
충청남도,태안군,1.0,24253,6226,5155,4577,3787,2615,1893,15745.0
충청남도,홍성군,3.0,30056,7728,6263,5199,4434,3736,2696,32000.0
충청북도,괴산군,,16360,4478,3495,2584,2506,1992,1305,9473.0
충청북도,단양군,1.0,11604,3381,2485,1937,1751,1278,772,6855.0
충청북도,보은군,3.0,13882,3572,2799,2213,2135,1834,1329,8794.0
충청북도,상당구,,40738,13455,9308,6349,5381,3755,2490,
충청북도,서원구,,42456,14715,9681,6653,5405,3681,2321,
충청북도,영동군,3.0,18520,4785,3854,3135,3039,2290,1417,11680.0
충청북도,옥천군,3.0,18610,4984,4047,3121,2822,2073,1563,13798.0
충청북도,음성군,2.0,25642,7972,5653,3938,3582,2659,1838,29266.0
충청북도,제천시,6.0,39959,12590,9246,6191,5764,3910,2258,42422.0
충청북도,증평군,1.0,8734,2788,1954,1337,1225,887,543,15155.0
충청북도,진천군,1.0,18410,5699,4030,2787,2445,2112,1337,34557.0
충청북도,청원구,,34798,11753,7875,5412,4536,3258,1964,
충청북도,청주시,14.0,162294,56336,37220,25076,20488,14104,9070,297157.0
충청북도,충주시,7.0,56705,17786,12505,8581,8180,6001,3652,69701.0
충청북도,흥덕구,,44302,16413,10356,6662,5166,3410,2295,
