시도별,행정구역별(시군구),성별,세대구성별,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
경상남도,마산합포구,계,계,50699,15885,12480,9134,6627,4152,2421
경상남도,마산회원구,계,계,47959,16306,12544,8505,5682,3284,1638
경상남도,진해구,계,계,39101,13178,9608,6547,4771,3185,1812
경상남도,의령군,계,계,11607,2741,2277,1863,1894,1669,1163
경상남도,함안군,계,계,20276,5803,4440,3374,2901,2284,1474
경상남도,창녕군,계,계,23538,6354,4977,3999,3602,2817,1789
경상남도,고성군,계,계,19539,4862,4146,3431,2975,2412,1713
경상남도,남해군,계,계,19264,4227,3698,3378,3078,2731,2152
경상남도,하동군,계,계,18671,4552,3727,3114,2933,2535,1810
경상남도,산청군,계,계,15115,3659,3097,2493,2455,2069,1342
경상남도,함양군,계,계,15933,3787,3048,2647,2632,2347,1472
경상남도,거창군,계,계,21248,5427,4241,3523,3257,2882,1918
경상남도,합천군,계,계,20208,4575,3825,3374,3428,3029,1977
제주특별자치도,제주특별자치도,계,계,142796,44693,30649,24323,19207,13771,10153
제주특별자치도,읍부,계,계,41016,11497,8210,6864,5905,4803,3737
제주특별자치도,면부,계,계,11014,3034,2180,1897,1611,1315,977
제주특별자치도,동부,계,계,90766,30162,20259,15562,11691,7653,5439
제주특별자치도,제주시,계,계,96682,31190,21025,16203,12577,8992,6695
제주특별자치도,서귀포시,계,계,46114,13503,9624,8120,6630,4779,3458
