시도명,시군구명,병원수,격리병상수,남은 격리병상수,총인구
전라북도,전주시,5.0,210.0,60.0,666517.0
전라북도,정읍시,1.0,0.0,1.0,106706.0
전라북도,진안군,1.0,2.0,0.0,23380.0
제주특별자치도,서귀포시,1.0,72.0,1.0,178552.0
제주특별자치도,제주시,5.0,170.0,42.0,492306.0
충청남도,계룡시,0.0,0.0,0.0,40854.0
충청남도,공주시,1.0,119.0,15.0,108333.0
충청남도,금산군,0.0,0.0,0.0,53758.0
충청남도,논산시,1.0,3.0,0.0,119707.0
충청남도,당진시,1.0,47.0,1.0,168955.0
충청남도,동남구,0.0,0.0,0.0,273764.0
충청남도,보령시,1.0,0.0,0.0,99088.0
충청남도,부여군,1.0,3.0,0.0,64207.0
충청남도,서북구,0.0,0.0,0.0,408435.0
충청남도,서산시,2.0,156.0,7.0,176379.0
충청남도,서천군,1.0,0.0,0.0,51039.0
충청남도,아산시,1.0,11.0,0.0,340518.0
충청남도,예산군,1.0,1.0,0.0,77838.0
충청남도,천안시,4.0,148.0,25.0,682199.0
충청남도,청양군,1.0,1.0,0.0,30103.0
충청남도,태안군,1.0,1.0,0.0,60901.0
충청남도,홍성군,1.0,96.0,9.0,102757.0
충청북도,괴산군,1.0,2.0,2.0,38093.0
충청북도,단양군,0.0,0.0,0.0,27640.0
충청북도,보은군,0.0,0.0,0.0,31543.0
충청북도,상당구,0.0,0.0,0.0,184787.0
충청북도,서원구,0.0,0.0,0.0,202390.0
충청북도,영동군,1.0,0.0,0.0,47016.0
충청북도,옥천군,1.0,3.0,0.0,48868.0
충청북도,음성군,0.0,0.0,0.0,103725.0
충청북도,제천시,2.0,32.0,3.0,134768.0
충청북도,증평군,0.0,0.0,0.0,37183.0
충청북도,진천군,1.0,67.0,17.0,89514.0
충청북도,청원구,0.0,0.0,0.0,197559.0
충청북도,청주시,7.0,445.0,73.0,855326.0
충청북도,충주시,2.0,149.0,7.0,218412.0
충청북도,흥덕구,0.0,0.0,0.0,270590.0
