,loc_sido,loc_gun,bed,pop,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
96,대전광역시,중구,104.0,231959.0,61118,18246,13978,11270,8625,5629,3370,80330.0,142.20836762112484
97,부산광역시,금정구,0.0,237219.0,65991,20857,16370,11972,8765,5129,2898,68968.0,172.2211131001172
98,부산광역시,기장군,24.0,169465.0,35780,11247,8769,6550,4700,2858,1656,56890.0,107.22130839450634
99,부산광역시,남구,29.0,269111.0,72376,21946,17554,13634,10283,5949,3010,76075.0,195.35748973334387
100,부산광역시,동구,43.0,87246.0,29438,8210,6894,5548,4540,2816,1430,42023.0,76.33364309359848
101,부산광역시,동래구,34.0,263345.0,68494,22037,17440,12530,8818,5000,2669,94638.0,175.80753238790606
102,부산광역시,부산진구,80.0,351403.0,95280,29944,23175,17195,12932,7943,4091,101400.0,236.76330372314033
103,부산광역시,북구,10.0,280177.0,71686,25868,17787,12105,8370,4920,2636,80900.0,188.19090272900192
104,부산광역시,사상구,41.0,216350.0,56541,20565,14575,9805,6419,3505,1672,75743.0,158.09049448418304
105,부산광역시,사하구,0.0,312057.0,82847,28058,21027,14791,10134,5860,2977,91541.0,216.49147177781583
106,부산광역시,서구,156.0,105303.0,34264,9724,8043,6434,5093,3245,1725,43200.0,100.76205418340474
107,부산광역시,수영구,39.0,171461.0,50046,15129,12343,9635,6706,4061,2172,52725.0,137.98119249237084
108,부산광역시,연제구,125.0,204947.0,55162,17483,13843,10072,7331,4287,2146,84012.0,145.69696130817408
109,부산광역시,영도구,33.0,113224.0,39902,11315,9541,7709,6021,3594,1722,29696.0,118.07918507672925
110,부산광역시,중구,24.0,41439.0,13932,3982,3316,2640,2075,1224,695,13880.0,60.42874026528465
111,부산광역시,해운대구,41.0,389535.0,97281,32013,23664,16902,12532,7865,4305,114679.0,232.28579987477434
112,서울특별시,강남구,69.0,508135.0,100254,31311,24800,19366,12767,7101,4909,232985.0,204.37920584102108
113,서울특별시,강동구,231.0,444434.0,100158,34831,25440,17779,11460,6307,4341,168736.0,256.78183601000546
114,서울특별시,강북구,0.0,299535.0,83650,24580,18938,15730,12931,7526,3945,105224.0,184.99625690325928
115,서울특별시,강서구,161.0,564854.0,126089,42648,30967,22559,14813,9021,6081,199446.0,287.8318681566175
116,서울특별시,관악구,56.0,502641.0,105565,31825,25050,20365,15387,8483,4455,162897.0,277.5969200466767
117,서울특별시,광진구,28.0,353967.0,70213,23752,16654,12193,9079,5441,3094,128383.0,167.9441035804728
118,서울특별시,구로구,131.0,435442.0,96116,30669,23518,18083,12540,7270,4036,157712.0,239.85562716718027
119,서울특별시,금천구,5.0,249419.0,55176,18549,13168,9962,7240,4004,2253,92980.0,141.34362496971613
120,서울특별시,노원구,71.0,511982.0,118020,37840,27501,20405,15638,10082,6554,168622.0,245.0391137896947
121,서울특별시,도봉구,8.0,315979.0,86238,27753,20054,14959,11763,7315,4394,110732.0,177.033406617906
122,서울특별시,동대문구,223.0,351057.0,81539,24817,18831,14706,11876,7133,4176,131044.0,198.99130333679855
123,서울특별시,동작구,115.0,392772.0,87643,26873,20324,16330,12149,7441,4526,133854.0,208.39365074226066
124,서울특별시,마포구,0.0,365612.0,71183,21665,15545,12539,10431,6793,4210,135772.0,139.98377994098962
125,서울특별시,서대문구,80.0,317209.0,70436,21055,15252,12502,10523,7007,4097,107856.0,150.67586876460467
126,서울특별시,서초구,40.0,401749.0,80400,25436,19614,15312,10361,5785,3892,163471.0,185.27053185273795
127,서울특별시,성동구,42.0,291918.0,62418,20417,14169,10878,8602,5311,3041,110116.0,140.58307523687944
128,서울특별시,성북구,41.0,438833.0,97869,29909,22047,17617,14216,8953,5127,142980.0,214.1250422823101
129,서울특별시,송파구,150.0,643288.0,133309,46177,34339,23519,14877,8428,5969,249680.0,307.41920531220444
130,서울특별시,양천구,94.0,439068.0,93304,31797,23336,16437,10980,6540,4214,158378.0,224.08667952978368
131,서울특별시,영등포구,92.0,403619.0,80748,25432,18746,14664,10895,6867,4144,163460.0,168.8176929527707
132,서울특별시,은평구,20.0,463102.0,113400,34977,25920,20726,16255,10083,5439,163097.0,232.40028766794143
133,서울특별시,종로구,285.0,151291.0,34852,10384,7581,5986,5209,3467,2225,73433.0,96.83328265966118
134,서울특별시,중랑구,208.0,385663.0,97168,32215,23269,17323,12806,7423,4132,130693.0,247.66089194834316
135,세종특별자치시,세종시,32.0,353933.0,48720,16969,11421,7769,5719,3938,2904,134571.0,113.37333191280511
136,울산광역시,남구,72.0,320175.0,61318,24391,15893,9809,6043,3393,1789,118992.0,168.86424014922733
137,울산광역시,동구,114.0,159000.0,32186,13547,8515,5079,2798,1448,799,50039.0,123.85729078214052
138,울산광역시,북구,11.0,217051.0,28808,12213,6883,4188,2787,1702,1035,76613.0,94.03386175247044
139,울산광역시,울주군,1.0,225050.0,46528,16644,11107,7340,5405,3623,2409,52207.0,133.61526601031812
140,울산광역시,중구,31.0,214147.0,49294,18111,12626,8167,5587,3184,1619,68458.0,144.62558056305997
141,인천광역시,강화군,2.0,66020.0,27776,7382,5741,5029,4257,3095,2272,19769.0,59.917073369377704
142,인천광역시,계양구,272.0,292852.0,59148,24059,13268,8519,6255,4308,2739,99791.0,157.31240654108254
143,인천광역시,남동구,102.0,528927.0,105715,38512,25051,17554,12261,7538,4799,172095.0,252.36636894081516
144,인천광역시,미추홀구,62.0,405886.0,95964,31421,21802,17116,12787,7911,4927,140889.0,205.3060649397177
145,인천광역시,부평구,218.0,500812.0,107733,39010,24780,17550,12718,8337,5338,166224.0,243.37328819654323
146,인천광역시,서구,219.0,541534.0,88871,35243,20712,13859,9352,5885,3820,203412.0,213.29066373538143
147,인천광역시,연수구,27.0,390260.0,59460,23896,13356,8746,6216,4197,3049,163736.0,111.86232910223691
148,인천광역시,중구,91.0,138586.0,27203,8656,6311,5042,3643,2119,1432,53198.0,91.44797447413906
149,전라남도,강진군,49.0,32778.0,14154,3251,2546,2554,2360,2088,1355,9116.0,41.27438813499402
150,전라남도,고흥군,7.0,60045.0,30148,6240,5703,5521,5270,4338,3076,15568.0,45.42526629837623
151,전라남도,곡성군,1.0,27349.0,11687,2514,2012,2040,1995,1833,1293,6839.0,32.24783918242133
152,전라남도,광양시,1.0,143928.0,28141,9674,6161,4456,3276,2694,1880,46246.0,67.39764486613204
153,전라남도,구례군,0.0,23907.0,10386,2394,1926,1811,1837,1493,925,7343.0,36.641511982726755
154,전라남도,나주시,0.0,113293.0,31071,8328,6158,5411,5102,3672,2400,40839.0,61.60229293743873
155,전라남도,담양군,2.0,44201.0,16829,4116,3221,2995,2822,2245,1430,11142.0,45.464495232841706
156,전라남도,목포시,195.0,224509.0,52159,16543,11843,9678,7367,4378,2350,85005.0,146.44231562009134
157,전라남도,무안군,11.0,84637.0,20682,5412,4302,3824,3351,2335,1458,32959.0,56.1520341029323
158,전라남도,보성군,0.0,37888.0,17748,3767,3223,3101,3074,2687,1896,10581.0,34.37348530590822
159,전라남도,순천시,146.0,272449.0,59922,19425,12876,10074,7876,5711,3960,99068.0,121.75455970125186
160,전라남도,신안군,1.0,35138.0,16384,3679,3118,2971,2950,2319,1347,5451.0,47.00486179407298
161,전라남도,여수시,7.0,271505.0,71703,21746,16750,13334,9717,6276,3880,90344.0,155.3180661654469
162,전라남도,영광군,4.0,50196.0,18102,4265,3489,3414,3225,2337,1372,13956.0,51.88783091772106
163,전라남도,영암군,1.0,57076.0,17005,4215,3189,2940,2916,2275,1470,15884.0,46.3722800446217
